Temp Group	Interface Group	EDC Code	EDC Description	Debit Account	Credit Account	Prefix
1001	1002	E01	Salary	222-60-01	114-25-01	02
1001	1002	E10	Traveling	222-60-01	114-25-01	02
1001	1002	E14	Ot. Earning	222-60-01	114-25-01	02
1001	1002	E3	Overtime	222-60-01	114-25-01	02
1001	1002	E11	Bonus	222-60-01	114-25-01	02
1001	1002	E17	An.Leave	222-60-01	114-25-01	02
1001	1002	E6	13 Salary	222-60-01	114-25-01	02
1001	1002	E28	COLA	222-60-01	114-25-01	02
1001	1002	E12	Commision	222-60-01	114-25-01	02
1001	1002	E31	Rec.Ben In Kind Company Car	222-60-20	222-74-01	02
1001	1002	E40	Ben In Kind Telephone Bill	222-60-21	222-66-01	02
1001	1002	E41	Ben In Kind Purchases	222-60-22		02
1001	1002	D3	Inc.Tax	114-25-01	114-31-07	02
1001	1002	D7	Soc. Insur.	114-25-01	114-31-03	02
1001	1002	D1	Advances	114-25-01	113-15-95	02
1001	1002	D12	Oth.Ded.	114-25-01	113-15-95	02
1001	1002	D5	Pr. Fund	114-25-01	114-31-05	02
1001	1002	D4	Med. Fund PEO	114-25-01	114-31-08	02
1001	1002	D6	PROV. F. LOAN	114-25-01	114-31-05	02
1001	1002	D10	Union-PEO	114-25-01	114-31-08	02
1001	1002	D21	Med. Fund SEK	114-25-01	114-31-02	02
1001	1002	C1	Industrial	222-60-11	114-31-03	02
1001	1002	C4	Soc. Insur.	222-60-03	114-31-03	02
1001	1002	C5	Soc. Cohesion	222-60-04	114-31-03	02
1001	1002	C6	Unemp/ment	222-60-12	114-31-03	02
1001	1002	C3	Pro.Fund	222-60-05	114-31-05	02
1001	1002	C2	Med.Fund PEO	222-60-06	114-31-08	02
1001	1002	C12	Med.Fund SEK	222-60-06	114-31-02	02
1001	1002	C7	Welfare Fund-PEO	222-60-02	114-31-08	02
						
