Temp Group	Interface Group	EDC Code	EDC Description	Debit Account	Credit Account	Prefix
1001	1004	E01	Salary	422-60-01	114-25-01	04
1001	1004	E10	Traveling	422-60-01	114-25-01	04
1001	1004	E14	Ot. Earning	422-60-01	114-25-01	04
1001	1004	E3	Overtime	422-60-01	114-25-01	04
1001	1004	E11	Bonus	422-60-01	114-25-01	04
1001	1004	E17	An.Leave	422-60-01	114-25-01	04
1001	1004	E6	13 Salary	422-60-01	114-25-01	04
1001	1004	E28	COLA	422-60-01	114-25-01	04
1001	1004	E12	Commision	422-60-01	114-25-01	04
1001	1004	E31	Rec.Ben In Kind Company Car	422-60-20	422-74-01	04
1001	1004	E40	Ben In Kind Telephone Bill	422-60-21	422-66-01	04
1001	1004	E41	Ben In Kind Purchases	422-60-22		04
1001	1004	D3	Inc.Tax	114-25-01	114-31-07	04
1001	1004	D7	Soc. Insur.	114-25-01	114-31-03	04
1001	1004	D1	Advances	114-25-01	113-15-95	04
1001	1004	D12	Oth.Ded.	114-25-01	113-15-95	04
1001	1004	D5	Pr. Fund	114-25-01	114-31-05	04
1001	1004	D4	Med. Fund PEO	114-25-01	114-31-08	04
1001	1004	D6	PROV. F. LOAN	114-25-01	114-31-05	04
1001	1004	D10	Union-PEO	114-25-01	114-31-08	04
1001	1004	D21	Med. Fund SEK	114-25-01	114-31-02	04
1001	1004	C1	Industrial	422-60-11	114-31-03	04
1001	1004	C4	Soc. Insur.	422-60-03	114-31-03	04
1001	1004	C5	Soc. Cohesion	422-60-04	114-31-03	04
1001	1004	C6	Unemp/ment	422-60-12	114-31-03	04
1001	1004	C3	Pro.Fund	422-60-05	114-31-05	04
1001	1004	C2	Med.Fund PEO	422-60-06	114-31-08	04
1001	1004	C12	Med.Fund SEK	422-60-06	114-31-02	04
1001	1004	C7	Welfare Fund-PEO	422-60-02	114-31-08	04
