1001	1001	E01	Βασικός	601010	301710	01		
1001	1001	E10	Οδοιπορ. Διεθυντή	752030	301710	01		
1001	1001	E28	ΑΤΑ	601015	301710	01		
1001	1001	E24	Overtime 1	601025	301710	01		
1001	1001	E25	Overtime 2	601025	301710	01		
1001	1001	E26	Overtime 3	601025	301710	01		
1001	1001	E14	Επ.Βάρδιας	601220	301710	01		
1001	1001	E32	Επ.Επιφυλακής	601210	301710	01		
1001	1001	E33	Επ.Οδήγησης	601215	301710	01		
1001	1001	E35	Ιατρο/κή	603010	301710	01		
1001	1001	E37	Επ.Εκλογών	601025	301710	01		
1001	1001	E6	Αν.13 μισθού	601040	301765	01		
1001	1001	E38	Εφάπαξ	361020	301710	01		
1001	1001	E2	Αναδρομικά	601010	301710	01		
1001	1001	E29	Επ.Παραστάσεως Διευθυντή	701510	301710	01		
1001	1001	D3	Φόρος Εισοδήματος	301710	301720	01		
1001	1001	D7	Κοιν.Ασφαλίσεις	301710	301725	01		
1001	1001	D1	Έναντι	301710	601010	01		
1001	1001	D2	Δανειο	301710	202041	01		
1001	1001	D10	ΠΕΟ	301710	301740	01		
1001	1001	D14	ΣΕΚ	301710	301745	01		
1001	1001	D15	Μείωση απολαβών	301710	301752	01		
1001	1001	D12	Άλλες αποκοπές	301710	301775	01		
1001	1001	D18	Ταμείο Συνταξης	301710	301750	01		
1001	1001	D19	Χηρών και Ορφανών	301710	301750	01		
1001	1001	C1	Ανθρ.Δυναμικού	602025	301725	01		
1001	1001	C4	Κοιν.Ασφαλίσεις	602015	301725	01		
1001	1001	C5	Κοιν.συνωχής	602010	301725	01		
1001	1001	C6	Πλεον.Προσωπικού	602020	301725	01		
1001	1001	C10	Τ.Συντ. Τρεχουσα	602550	301750	01		
1001	1001	C11	Τ.Συντ. Προηγουμ.	602555	301750	01		
