Temp Group	Interface Group	EDC Code	EDC Description	Debit Account	Credit Account	Prefix
1001	1003	E01	Salary	322-60-01	114-25-01	03
1001	1003	E10	Traveling	322-60-01	114-25-01	03
1001	1003	E14	Ot. Earning	322-60-01	114-25-01	03
1001	1003	E3	Overtime	322-60-01	114-25-01	03
1001	1003	E11	Bonus	322-60-01	114-25-01	03
1001	1003	E17	An.Leave	322-60-01	114-25-01	03
1001	1003	E6	13 Salary	322-60-01	114-25-01	03
1001	1003	E28	COLA	322-60-01	114-25-01	03
1001	1003	E12	Commision	322-60-01	114-25-01	03
1001	1003	E31	Rec.Ben In Kind Company Car	322-60-20	322-74-01	03
1001	1003	E40	Ben In Kind Telephone Bill	322-60-21	322-66-01	03
1001	1003	E41	Ben In Kind Purchases	322-60-22		03
1001	1003	D3	Inc.Tax	114-25-01	114-31-07	03
1001	1003	D7	Soc. Insur.	114-25-01	114-31-03	03
1001	1003	D1	Advances	114-25-01	113-15-95	03
1001	1003	D12	Oth.Ded.	114-25-01	113-15-95	03
1001	1003	D5	Pr. Fund	114-25-01	114-31-05	03
1001	1003	D4	Med. Fund PEO	114-25-01	114-31-08	03
1001	1003	D6	PROV. F. LOAN	114-25-01	114-31-05	03
1001	1003	D10	Union-PEO	114-25-01	114-31-08	03
1001	1003	D21	Med. Fund SEK	114-25-01	114-31-02	03
1001	1003	C1	Industrial	322-60-11	114-31-03	03
1001	1003	C4	Soc. Insur.	322-60-03	114-31-03	03
1001	1003	C5	Soc. Cohesion	322-60-04	114-31-03	03
1001	1003	C6	Unemp/ment	322-60-12	114-31-03	03
1001	1003	C3	Pro.Fund	322-60-05	114-31-05	03
1001	1003	C2	Med.Fund PEO	322-60-06	114-31-08	03
1001	1003	C12	Med.Fund SEK	322-60-06	114-31-02	03
1001	1003	C7	Welfare Fund-PEO	322-60-02	114-31-08	03
