3001	3001	E01	Βασικός	361015	301710	03		
3001	3001	E40	Αναλογική	301710	361015	03		
3001	3001	E14	Άλλα	361015	301710	03		
3001	3001	E33	Ιατρο/κή	603010	301710	03		
3001	3001	E34	Επ.Βάρδιας	601220	301710	03		
3001	3001	E36	Επ.Οδήγησης	601215	301710	03		
3001	3001	E32	Επ.Επιφυλακής	601210	301710	03		
3001	3001	E35	Επ.Χρ.Τηλεφώνου	752515	301710	03		
3001	3001	E10	Οδοιπορικά	752030	301710	03		
3001	3001	E37	Εφάπαξ	361020	301710	03		
3001	3001	E2	Αναδρομικά	361015	301710	03		
3001	3001	Ε38	Αναδρομική Αναλογική	301710	361015	03		
3001	3001	E40	ΤΑΜΕΙΟ ΣΥΝΤΑΞΕΩΝ - ΑΝΑΚΤΗΣΗ ΑΝΑΛΟΓΙΚΗΣ	602565	503010	03		
3001	3001	D3	Φόρος Εισοδήματος	301710	301720	03		
3001	3001	D2	Δάνειο	301710	202041	03		
3001	3001	D14	ΣΕΚ	301710	301745	03		
3001	3001	D15	Μείωση απολαβών	301710	301752	03		
3001	3001	D12	Άλλες αποκοπές	301710	301775	03		
3001	3001	C10	Άλλα	301710	301710	03		
