101	3.292,16	300,00	4.019,00	
102	2.729,18	300,00	186,00	
103	1.605,95	300,00	1.044,00	
104	1.982,04	300,00	1.155,00	
105	1.267,43	0,00	0,00	
106	1.497,49	0,00	0,00	
107	2.206,07	300,00	1.956,00	7.121,20
108	1.821,93	300,00	600,00	
109	1.805,79	430,00	734,00	
110	2.428,36	0,00	0,00	7.872,00
111	2.451,19	0,00	2.499,00	
112	1.618,91	0,00	0,00	
113	2.023,64	0,00	2.140,00	
114	1.436,90	0,00	0,00	
115	902,90	0,00	0,00	
116	1.487,49	250,00	1.020,00	
117	2.366,66	300,00	2.460,00	
118	1.986,31	300,00	1.700,00	
119	1.377,42	300,00	0,00	
120	971,34	0,00	0,00	
121	1.618,91	0,00	2.560,00	
122	1.479,16	0,00	792,00	
123	2.349,76	300,00	4.080,00	
124	2.197,62	0,00	1.695,00	
125	823,18	0,00	0,00	
126	1.723,71	500,00	1.200,00	
127	2.383,57	300,00	1.000,00	
128	2.535,71	0,00	1.651,00	
129	2.349,76	300,00	2.890,00	
130	831,75	0,00	0,00	
131	752,53	0,00	0,00	
132	1.188,21	0,00	0,00	
133	3.216,27	480,00	5.572,00	
134	1.788,89	307,00	1.679,00	
135	2.022,49	300,00	0,00	
136	2.706,93	0,00	2.200,00	
137	1.052,29	307,00	0,00	
138	1.134,21	0,00	0,00	
139	1.905,33	0,00	1.200,00	
140	1.758,09	300,00	0,00	
141	1.617,99	300,00	0,00	
142	1.529,87	300,00	0,00	
143	3.562,67	300,00	8.517,00	
144	3.292,16	300,00	1.200,00	
145	3.241,98	714,00	1.256,00	
146	1.775,00	300,00	1.050,00	
147	1.133,24	300,00	0,00	
148	1.617,99	300,00	0,00	
149	647,56	0,00	0,00	
150	2.669,20	300,00	854,00	
				
				
