1021	201001	201001	1	E	E1			339,00			SALARY	1928,00
1021	201001	201001	2	E	E3						OVERTIME	
1021	201001	201001	3	E	E12			1589,00			COMMISSION	
1021	201001	201001	4	E	E2						ARREARS	
1021	201001	201001	5	E	E13						ANNUAL LEAVE	
1021	201001	201001	6	E	E6						13 SALARY	
1021	201001	201001	7	D		D7		131,10			SOCIAL INSURANCE	
1021	201001	201001	8	D		D3		49,00			INCOME TAX	
1021	201001	201001	9	D		D5		77,12			PROVIDENT FUND	
1021	201001	201001	10	D		D2					COMPANY LOAN	
1021	201001	201001	11	D		D1					ADVANCES	
1021	201001	201001	12	D		D12					OTHER DEDUCTIONS	
1021	201001	201001	13	C			C4	131,104			SOCIAL INSURANCE	131,104
1021	201001	201001	14	C			C1	9,64			INDUSTRIAL	9,64
1021	201001	201001	15	C			C3	77,12			PROVIDENT FUND	77,12
1021	201001	201001	16	C			C5	38,56			SOCIAL COHESION	38,56
1021	201001	201001	17	C			C6	23,136			UNEMPLOYMENT	23,136
1021	201001	201002	1	E	E1			339,00			SALARY	1774,00
1021	201001	201002	2	E	E3						OVERTIME	
1021	201001	201002	3	E	E12			1435,00			COMMISSION	
1021	201001	201002	4	E	E2						ARREARS	
1021	201001	201002	5	E	E13						ANNUAL LEAVE	
1021	201001	201002	6	E	E6						13 SALARY	
1021	201001	201002	7	D		D7		120,63			SOCIAL INSURANCE	
1021	201001	201002	8	D		D3		20,00			INCOME TAX	
1021	201001	201002	9	D		D5		70,96			PROVIDENT FUND	
1021	201001	201002	10	D		D2					COMPANY LOAN	
1021	201001	201002	11	D		D1					ADVANCES	
1021	201001	201002	12	D		D12					OTHER DEDUCTIONS	
1021	201001	201002	13	C			C4	120,632			SOCIAL INSURANCE	120,632
1021	201001	201002	14	C			C1	8,87			INDUSTRIAL	8,87
1021	201001	201002	15	C			C3	70,96			PROVIDENT FUND	70,96
1021	201001	201002	16	C			C5	35,48			SOCIAL COHESION	35,48
1021	201001	201002	17	C			C6	21,288			UNEMPLOYMENT	21,288
1021	201001	201003	1	E	E1			339,00			SALARY	2033,00
1021	201001	201003	2	E	E3						OVERTIME	
1021	201001	201003	3	E	E12			1694,00			COMMISSION	
1021	201001	201003	4	E	E2						ARREARS	
1021	201001	201003	5	E	E13						ANNUAL LEAVE	
1021	201001	201003	6	E	E6						13 SALARY	
1021	201001	201003	7	D		D7		138,24			SOCIAL INSURANCE	
1021	201001	201003	8	D		D3		70,00			INCOME TAX	
1021	201001	201003	9	D		D5		81,32			PROVIDENT FUND	
1021	201001	201003	10	D		D2					COMPANY LOAN	
1021	201001	201003	11	D		D1					ADVANCES	
1021	201001	201003	12	D		D12					OTHER DEDUCTIONS	
1021	201001	201003	13	C			C4	138,244			SOCIAL INSURANCE	138,244
1021	201001	201003	14	C			C1	10,165			INDUSTRIAL	10,165
1021	201001	201003	15	C			C3	81,32			PROVIDENT FUND	81,32
1021	201001	201003	16	C			C5	40,66			SOCIAL COHESION	40,66
1021	201001	201003	17	C			C6	24,396			UNEMPLOYMENT	24,396
1021	201001	201004	1	E	E1			339,00			SALARY	2119,00
1021	201001	201004	2	E	E3						OVERTIME	
1021	201001	201004	3	E	E12			1780,00			COMMISSION	
1021	201001	201004	4	E	E2						ARREARS	
1021	201001	201004	5	E	E13						ANNUAL LEAVE	
1021	201001	201004	6	E	E6						13 SALARY	
1021	201001	201004	7	D		D7		144,09			SOCIAL INSURANCE	
1021	201001	201004	8	D		D3		86,00			INCOME TAX	
1021	201001	201004	9	D		D5		84,76			PROVIDENT FUND	
1021	201001	201004	10	D		D2					COMPANY LOAN	
1021	201001	201004	11	D		D1					ADVANCES	
1021	201001	201004	12	D		D12					OTHER DEDUCTIONS	
1021	201001	201004	13	C			C4	144,092			SOCIAL INSURANCE	144,092
1021	201001	201004	14	C			C1	10,595			INDUSTRIAL	10,595
1021	201001	201004	15	C			C3	84,76			PROVIDENT FUND	84,76
1021	201001	201004	16	C			C5	42,38			SOCIAL COHESION	42,38
1021	201001	201004	17	C			C6	25,428			UNEMPLOYMENT	25,428
1021	201001	201005	1	E	E1			339,00			SALARY	1960,00
1021	201001	201005	2	E	E3						OVERTIME	
1021	201001	201005	3	E	E12			1621,00			COMMISSION	
1021	201001	201005	4	E	E2						ARREARS	
1021	201001	201005	5	E	E13						ANNUAL LEAVE	
1021	201001	201005	6	E	E6						13 SALARY	
1021	201001	201005	7	D		D7		133,28			SOCIAL INSURANCE	
1021	201001	201005	8	D		D3		56,00			INCOME TAX	
1021	201001	201005	9	D		D5		78,40			PROVIDENT FUND	
1021	201001	201005	10	D		D2					COMPANY LOAN	
1021	201001	201005	11	D		D1					ADVANCES	
1021	201001	201005	12	D		D12					OTHER DEDUCTIONS	
1021	201001	201005	13	C			C4	133,28			SOCIAL INSURANCE	133,28
1021	201001	201005	14	C			C1	9,8			INDUSTRIAL	9,8
1021	201001	201005	15	C			C3	78,4			PROVIDENT FUND	78,4
1021	201001	201005	16	C			C5	39,2			SOCIAL COHESION	39,2
1021	201001	201005	17	C			C6	23,52			UNEMPLOYMENT	23,52
1021	201001	201006	1	E	E1			339,00			SALARY	2105,00
1021	201001	201006	2	E	E3						OVERTIME	
1021	201001	201006	3	E	E12			1766,00			COMMISSION	
1021	201001	201006	4	E	E2						ARREARS	
1021	201001	201006	5	E	E13						ANNUAL LEAVE	
1021	201001	201006	6	E	E6						13 SALARY	
1021	201001	201006	7	D		D7		143,14			SOCIAL INSURANCE	
1021	201001	201006	8	D		D3		84,00			INCOME TAX	
1021	201001	201006	9	D		D5		84,20			PROVIDENT FUND	
1021	201001	201006	10	D		D2					COMPANY LOAN	
1021	201001	201006	11	D		D1					ADVANCES	
1021	201001	201006	12	D		D12					OTHER DEDUCTIONS	
1021	201001	201006	13	C			C4	143,14			SOCIAL INSURANCE	143,14
1021	201001	201006	14	C			C1	10,525			INDUSTRIAL	10,525
1021	201001	201006	15	C			C3	84,2			PROVIDENT FUND	84,2
1021	201001	201006	16	C			C5	42,1			SOCIAL COHESION	42,1
1021	201001	201006	17	C			C6	25,26			UNEMPLOYMENT	25,26
1021	201001	201007	1	E	E1			339,00			SALARY	1976,00
1021	201001	201007	2	E	E3						OVERTIME	
1021	201001	201007	3	E	E12			1637,00			COMMISSION	
1021	201001	201007	4	E	E2						ARREARS	
1021	201001	201007	5	E	E13						ANNUAL LEAVE	
1021	201001	201007	6	E	E6						13 SALARY	
1021	201001	201007	7	D		D7		134,37			SOCIAL INSURANCE	
1021	201001	201007	8	D		D3		59,00			INCOME TAX	
1021	201001	201007	9	D		D5		79,04			PROVIDENT FUND	
1021	201001	201007	10	D		D2					COMPANY LOAN	
1021	201001	201007	11	D		D1					ADVANCES	
